run_idx,query,intent,target,target_type,confidence,planner_version,node_count,edge_count,dag_hash,topology_hash
1,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
2,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
3,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
4,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
5,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
6,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
7,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
8,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
9,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
10,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
11,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
12,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
13,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
14,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
15,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
16,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
17,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
18,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
19,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
20,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
21,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
22,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
23,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
24,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
25,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
26,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
27,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
28,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
29,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
30,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
1,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
2,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
3,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
4,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
5,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
6,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
7,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
8,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
9,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
10,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
11,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
12,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
13,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
14,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
15,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
16,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
17,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
18,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
19,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
20,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
21,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
22,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
23,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
24,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
25,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
26,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
27,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
28,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
29,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
30,impact of modifying db writer,impact,writer,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
1,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
2,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
3,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
4,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
5,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
6,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
7,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
8,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
9,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
10,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
11,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
12,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
13,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
14,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
15,find unused imports in utils,semantic,utils,unknown,low,,0,0,ea53e8c8d5263ea8ae2699890caab9d72adec123cff6a922d78086db4ea51986,f5f601586348141cb59f4afc4fab6c1a56cf15d36b9b45c2bfbfcc92b9154bcc
